mention_id,chunk_id,source_file,source_chat,report_date,report_datetime_raw,sender,project_name_hint,map_urls,land_area_mentions,price_mentions,far_mentions,population_mentions,irr_mentions,npv_mentions,excerpt
TEAMS-MENTION-0148,148,batch_152.txt,Bee || Phân Tích Đầu Tư,,,,TOD),,"221,7 m²",,,,,,"P.ĐT xin báo cáo Sếp Admin 01 về cập nhật thêm thông tin khu đất tại 02 Tây Thạnh, Tân Phú như sau: Diện tích đất : 11.221,7 m², đất ở lâu dài, mục đích sử dụng là đất sản xuất kinh doanh. Vị trí: Mặt tiền đường Tây Thạnh (dài khoảng 65m, lòng đường 16m, vỉa hè mỗi bên 8m). Nằm trong bán kính TOD metro số 2 (chưa xác định chính xác có thuộc ranh đền bù của dự án TOD). Cập nhật sang tên cá nhân ông Phạm Công Danh từ ngày 13/06/2006. Hiện Sacombank"
TEAMS-MENTION-0149,149,batch_156.txt,Bee || Phân Tích Đầu Tư,,,,tại 02 Tây Thạnh,,"221,7 m²",,,,,,"P.ĐT xin báo cáo Sếp Admin 01 về cập nhật thêm thông tin khu đất tại 02 Tây Thạnh, Tân Phú như sau: Diện tích đất : 11.221,7 m², đất ở lâu dài, mục đích sử dụng là đất sản xuất kinh doanh. Vị trí: Mặt tiền đường Tây Thạnh (dài khoảng 65m, lòng đường 16m, vỉa hè mỗi bên 8m). Nằm trong bán kính TOD metro số 2 (chưa x"
TEAMS-MENTION-0150,150,batch_161.txt,Bee || Phân Tích Đầu Tư,,,,Văn phòng – An Phú,,52.419m²,246 tỷ,"Hệ số sử dụng đất: 21,7",,IRR đạt 15%,,"P.ĐT xin báo cáo sếp Admin 01 về dự án Văn phòng – An Phú, mặt tiền đường Mai Chí Thọ, phường An Phú, TP. Thủ Đức (Quận 2 cũ), TP.Hồ Chí Minh như sau: 1/ Pháp lý: Do dự án đã hết hạn chấp thuận chủ trương đầu tư từ năm 2010, nên sẽ có khả năng vướng các vấn đề sau: Gia hạn chấp thuận chủ trương đầu tư: Khó gia hạn do phải rà soát lại pháp lý (bị chồng chéo), quy hoạch và năng lực chủ đầu tư. Chưa hoàn thành nghĩa vụ tài chính: Khó xác định đầy đủ nghĩa vụ, có thể bị truy thu và phát sinh chi phí. Chưa đóng góp kinh phí hạ tầng chính: Khó xác định quy hoạch và nghĩa vụ các bên, ảnh hưởng tiến độ. 2/ Quy hoạch Chỉ tiêu xây dựng của khu đất văn phòng - Mật độ xây dựng: 92,8% - Hệ số sử dụng đất: 21,7 - Tổng diện tích GFA (bao gồm hầm và kỹ thuật): 52.419m² - Số tầng: 2 hầm + 27 tầng (trong đó 6 tầng thương mại và 19 tầng văn phòng + 2 tầng kỹ thuật) - Số chỗ để xe: 586 chỗ xe máy và 152 chỗ xe ô tô 3/ Hiệu quả đầu tư Doanh thu: Giả định dự án vận hành trong 30 năm Chi phí Hiệu quả dự án Với giá mua đất là 246 tỷ VNĐ (tương đương 94 Tr.VNĐ/m2 đất) và giá cho thuê văn phòng là 34$/m2 thì dự án có IRR đạt 15%. 4/ Độ nhạy dự án =>Dự án đạt hiệu quả với giá mua đất (Đã đủ điều kiện chuyển nhượng và đủ điều kiện xây dựng) là 246 tỷ VNĐ(tương đương 94 tr.VNĐ/m2). Do dự án đã triển khai từ năm 2008 nên sẽ phát sinh nhiều rủi ro pháp lý như trên. Hiện anh Minh đang tìm kiếm các nguồn thông tin để rà soát, tuy nhiên đến nay vẫn chưa có thông tin. Gửi file báo cáo tổng thể nha by Admin 01"
TEAMS-MENTION-0151,151,batch_161.txt,Bee || Phân Tích Đầu Tư,,,,a có trao đổi về việc,,,200 tỷ,,,,,Huy M - IM 5/14 6:20 PM Translate Hiện tại holiday mình chỉ còn tới khoảng 2060 or 2058. Nếu làm pháp lý và xây dựng xong mất 4 năm tầm 2030 thì. Condotel chỉ còn lại 28 30 năm thì chưa bàn tới giá bán vs số năm này thì ko ai mua condotel. Nobu còn 32 năm theo a là 1 trong những lý do key họ bán chậm. Nên trong bài này là mình giả định sẽ reset lại được lại 50 năm từ bây giờ và đang tạm tính đóng thêm tiền sử dụng đất khoảng hơn 200 tỷ thì mới làm đc pa condotel. Nếu ko reset được thì chỉ có pa là xây ks vận hành cho thuê. Chứ condotel thì thua à Mấy lần họp pl dự án a có trao đổi về việc ... by Hu
TEAMS-MENTION-0152,152,batch_162.txt,Bee || Phân Tích Đầu Tư,,,,,,,200 tỷ,,,,,Huy M - IM 5/14 6:20 PM Translate Hiện tại holiday mình chỉ còn tới khoảng 2060 or 2058. Nếu làm pháp lý và xây dựng xong mất 4 năm tầm 2030 thì. Condotel chỉ còn lại 28 30 năm thì chưa bàn tới giá bán vs số năm này thì ko ai mua condotel. Nobu còn 32 năm theo a là 1 trong những lý do key họ bán chậm. Nên trong bài này là mình giả định sẽ reset lại được lại 50 năm từ bây giờ và đang tạm tính đóng thêm tiền sử dụng đất khoảng hơn 200 tỷ thì mới làm đc pa condotel. Nếu ko reset được thì chỉ
TEAMS-MENTION-0153,153,batch_166.txt,Bee || Phân Tích Đầu Tư,,,,31 Trần Não như sau,,,"4,200 tỷ; 2,500 tỷ; 476tr/m2; 160 tỷ; 1,250 tỷ; 18.4tr/m2; 2.24 tỷ; 255 tỷ; 11,500 tỷ; 3,360 tỷ; 220tr/m2; 20.2 tỷ; 1,280 tỷ; 250tr/m2; 30.2 tỷ; 1,360tỷ; 6,500 tỷ; 136 tỷ; 200 tỷ",,,IRR cả dự án: 5.4%,,"Thao L - INVT 3/25 6:26 PM Edited Translate K.ĐT gửi anh Admin 01 báo cáo cập nhật dự án 31 Trần Não như sau: 1. Phương án đề xuất: - Loại hình: Căn hộ ở, Căn hộ dịch vụ và Shophouse - Quy mô: Tòa 35 tầng + 2 hầm: + 2 Tầng shophouse + CHDV: 1 tầng dịch vụ CHDV, 17 tầng CHDV, + Căn hộ ở: 2 tầng lánh nạn + dịch vụ, 13 tầng căn hộ ở 2. Tổng chi phí (VAT) TMĐT: 4,200 tỷ - Chi phí đất: 2,500 tỷ ~ 476tr/m2 - Tiền SDĐ tạm tính; 160 tỷ (tạm tính 20% Đơn giá đất ở VT1 Đường Trần Não) - CPXD Allin trung bình: 1,250 tỷ ~ 18.4tr/m2 + CPXD/CHDV: 2.24 tỷ/căn - Chi phí lãi vay: 255 tỷ CPBH: 11,500 tỷ - Chi phí bán hàng: 15% Doanh thu bán hàng - Chi phí vận hành: 60% Doanh thu vận hành CHDV 3. Tổng Doanh thu - Căn hộ: 3,360 tỷ + Đơn giá: 220tr/m2 ~ 20.2 tỷ/căn (chưa VAT, tim tường), Mở bán từ Q4/2028 - Q2/2029, Bàn giao nội thất cơ bản - Shophouse: 1,280 tỷ + Đơn giá: 250tr/m2 ~ 30.2 tỷ/căn (chưa VAT, tim tường), Mở bán từ Q3/2030 - Q4/2030, Bàn giao thô - CHDV: Bắt đầu vận hành 2031, Bàn giao nội thất đầy đủ + 32.8tr/căn/tháng (gồm VAT, tim tường) ~ 1,215$/căn/tháng, 20.9$/m2/tháng. + Tỷ lệ lấp đầy: Năm 1: 55%, Năm 2: 60%, Năm 3: 65%, Ổn định: 70% + Tỷ lệ tăng giá: 5%/năm 4. Hiệu quả dự án: - LNTT loại hình bán Căn hộ và Shophouse = 1,360tỷ - Dòng tiền thu về của CHDV sau khi trừ CPHD = 6,500 tỷ cho 48 năm ~ 136 tỷ/năm - IRR cả dự án: 5.4% *Phân tích hiệu quả theo loại hình sản phẩm Khi tách riêng từng loại hình trong dự án: - Căn hộ dịch vụ (vận hành): tạo dòng tiền ổn định trong dài hạn. Tuy nhiên, Dòng tiền từ doanh thu vận hành CHDV khi chiết khấu về tại thời điểm bắt đầu vận hành thì chỉ đủ bù đắp gần đủ phần Chi phí xây dựng và Chi phí vận hành (60%), nhưng không gánh được phần Chi phí đất ở tương ứng. - Căn hộ ở và Shophouse (sản phẩm bán): hiệu quả tài chính tốt, nhờ khả năng "
TEAMS-MENTION-0154,154,batch_167.txt,Bee || Phân Tích Đầu Tư,2026-03-25,3/25/2026 2:20 PM,Admin 01,khách sạn Đông Á Premier tại Phường Lộc Thọ,,,120 tỷ; 166tr/m2; 643 tỷ; 482 tỷ; 362 tỷ; 20.4tr/m2; 1.5 tỷ,,,,,"Admin 01 3/25/2026 2:20 PM Ủa bữa a David có gửi bài toán kinh doanh cho Casa rồi, mình có áp lại ra hiệu quả chưa BP.ĐT báo cáo Sếp Admin 01, về dự án khách sạn Đông Á Premier tại Phường Lộc Thọ, TP Nha Trang, Tỉnh Khánh Hòa như sau: I. SƠ BỘ VỀ DỰ ÁN Vị trí: Tọa lạc ở khu vực trung tâm thành phố. Hẻm nhỏ và cụt, rộng khoảng 5m, cách mặt tiền đường Hùng Vương khoảng 50m Xung quanh dự án có nhiều tòa cao tầng, bị chắn tầm nhìn ra biển Cách bãi biển tương đối xa, khoảng 320m Pháp lý: đất TMDV có thời hạn sử dụng lâu dài do có nguồn gốc đất ở Quy hoạch: Dựa trên giấy phép quy hoạch 02/GPQH - SXD: Được quy hoạch làm khách sạn, 26 tầng nổi, 1 tum thang + 2 tầng hầm, hiện đang tính theo phương án 242 phòng. II. ĐÁNH GIÁ HIỆU QUẢ DỰ ÁN GIẢ ĐỊNH Giả định chung cho cả 2 phương án (Dựa trên file CASA của anh Cường) a) Giá trị đất: Giá vốn đất: 120 tỷ (Tương đương 166tr/m2 đất) Thoái vốn đất: Thời điểm bán: 2060 Giá khảo sát tại thời điểm hiện tại: 170 Tr.vnđ/m2 Giả định: Tốc độ tăng giá đất là: 5%/1 năm Tổng giá trị bán: 643 tỷ (tương đương 893 Tr.vnđ/m2 đất) b) Tổng Mức Đầu Tư Dự Án: Do hiện tại chưa có TMĐT, nên BP ĐT giả định TMĐT bao gồm: Tiền đất + CPXD TMĐT của dự án (chưa bao gồm lãi vay, có VAT): 482 tỷ Giá đất: 120 tỷ (Tương đương 166tr/m2 đất) Chi phí xây dựng ALL in : 362 tỷ (Tương đương 20.4tr/m2), tương đương 1.5 tỷ/phòng Nhận xét: Do quỹ đất là đất TMDV có thời hạn sử dụng lâu dài, giá trị quyền sử dụng đất không bị giảm sau khi dự án khách sạn kết thúc vòng đời vận hành. Do đó Bộ phận đầu tư sẽ tính theo 2 phương án: Phương án có đất Phương án không có đất (đánh giá tỷ suất lợi nhuận dựa trên chi phí đầu tư xây dựng ban đầu) So sánh hiệu quả 2 phương án: c) Độ nhạy Độ nhạy TMĐT/Phòng (bao gồm VAT)/phòng và Giá thuê (bao gồm VAT) đối với PA bao gồm đất Độ nhạy TMĐT"
TEAMS-MENTION-0155,155,batch_169.txt,Bee || Phân Tích Đầu Tư,,,,,,,45 tr/m2; 400 tỷ,,,,,"Dạ đây là bảng hiệu quả của FS của lô A2-3, phương án giá bán 45 tr/m2 báo cáo ngày 04.08.2025 Thời điểm này mình đang để giá mua là 400 tỷ cho 2 lô Admin 01 Báo cáo Sếp! Báo cáo FS cũ phươ... by Unknown User Hoang V - IM 3/25 5:27 PM Edited Translate Admin 01 Báo cáo Sếp!"
TEAMS-MENTION-0156,156,batch_169.txt,Bee || Phân Tích Đầu Tư,,,,,,,400 tỷ; 100 tỷ; 45 tr/m2; 300 tỷ; 80 tr/m2,,dân đang bán tại Khu đô thị Hòa Xuân từ 60,,,"Báo cáo FS cũ phương án thiết kế chưa có bán shop, tính tiền mua đất 400 tỷ cao hơn hợp đồng 100 tỷ, giá bán thị trường lúc đó 45 tr/m2 chưa gồm VAT và mới chỉ tính 1 thửa đất thôi cũng đã có lời như vậy rồi. 2. FS cập nhật gần nhất: Bổ sung bán căn shop, đất mình mỗi thửa đều có 4 mặt tiền. Giá bán căn hộ tốt hơn, dự kiến bán vào năm 2029. Chi phí mua đất cập nhật theo hợp đồng chỉ 300 tỷ. => Tựu lại Mua đất làm cao tầng hiện giá chỉ 45 tr/m2 còn thấp hơn đất ở của dân đang bán tại Khu đô thị Hòa Xuân từ 60 tr- 80 tr/m2, chồng lên 15, 18 tầng bán, không phải đóng thêm tiền sử dung đất gì nữa chỉ cần dân gian => Như vậy thì chỉ có siêu lợi nhuận thôi Sếp. Begin quote, Admin 01, 3/25/2026 2:20 PM, Ủ... by Hoa D - CVDT 3/25 5:34 PM Edited Hoa D - CVDT"
TEAMS-MENTION-0157,157,batch_169.txt,Bee || Phân Tích Đầu Tư,,,,Holiday Beach theo phương án kết hợp Khách sạn và Condotel,,75.913 m2; 43.702 m2,,,,,,"P.ĐT xin báo cáo Sếp Admin 01 FS dự án Holiday Beach theo phương án kết hợp Khách sạn và Condotel, như sau: I. TỔNG QUAN DỰ ÁN VÀ CƠ CẤU SẢN PHẨM: Quy mô xây dựng: 2 tầng hầm, 30 tầng nổi, tổng diện tích GFA gồm hầm 75.913 m2. Tỷ lệ diện tích thương phẩm 43.702 m2 ~ 58%/GFA gồm hầm, ~ 66%/GFA chưa hầm. II. TỔNG MỨC ĐẦU TƯ DỰ KIẾN Tổng mức đầu tư (bao gồm VAT) được dự kiến xây dựng hoàn thiện tiêu chuẩn 5 sao. III. PHÂN BỔ GIÁ VỐN VÀ TÍNH GIÁ HÒA VỐN: Cơ cấu giá vốn/m2 thương phẩm Giá vốn phân bổ cho từng loại sản phẩm: Do tổng diện tích kinh doanh gồm nhiều loại hình (bán, cho thuê, shop, condotel), với giả định các sả"
TEAMS-MENTION-0158,158,batch_171.txt,Bee || Phân Tích Đầu Tư,,,,,,,,,,,,"Admin 01 3/25 5:10 PM Translate Ủa a nhớ hồi xưa FS cũ tính ra ko lời mấy, lúc bán giá 45 hay sao đó Dạ đây là bảng hiệu quả của FS của lô A2-... by Khoa L - INVT"
TEAMS-MENTION-0159,159,batch_171.txt,Bee || Phân Tích Đầu Tư,,,,Holiday Beach theo phương án kết hợp Khách sạn và Condotel,,75.913 m2; 43.702 m2,,,,,,"P.ĐT xin báo cáo Sếp Admin 01 FS dự án Holiday Beach theo phương án kết hợp Khách sạn và Condotel, như sau: I. TỔNG QUAN DỰ ÁN VÀ CƠ CẤU SẢN PHẨM: Quy mô xây dựng: 2 tầng hầm, 30 tầng nổi, tổng diện tích GFA gồm hầm 75.913 m2. Tỷ lệ diện tích thương phẩm 43.702 m2 ~ 58%/GFA gồm hầm, ~ 66%/GFA chưa hầm. II. TỔNG MỨC ĐẦU TƯ DỰ KIẾN Tổng mức đầu tư (bao gồm VAT) được dự kiến xây dựng hoàn thiện tiêu chuẩn 5 sao. III. PHÂN BỔ GIÁ VỐN VÀ TÍNH GIÁ HÒA VỐN: Cơ cấu giá"
TEAMS-MENTION-0160,160,batch_172.txt,Bee || Phân Tích Đầu Tư,,,,chung cư Hòa Xuân (A2-3 & A2-4) 1,,6.648 m2; 3.508 m2; 3.140 m2,60 tr/m2; 80 tr/m2; 15tr/m2; 36 tỷ; 956 tỷ; 765 tỷ; 512 tỷ,hệ số 12.4; hệ số 12.2,dân (thiết kế được 682,IRR: 141%,NPV: 512 tỷ,"P.ĐT báo cáo sếp hiệu quả dự án chung cư Hòa Xuân (A2-3 & A2-4) 1. Thông tin tổng quan a) Diện tích: 6.648 m2; Trong đó: + A2-3: 3.508 m2 + A2-4: 3.140 m2 b) Quy hoạch theo QHPK mới: + A2-3: 18 tầng, 880 dân, mđxd 73%, hệ số 12.4 (Thiết kế đc 12.4) + A2-4: 15 tầng, 804 dân (thiết kế được 682) , mđxd 76%, hệ số 12.2 (thiết kế được 10.6) 2. Hiệu quả: a) Giả định kinh doanh (tham chiếu báo cáo từ RnD): + Giá bán căn hộ: 55 – 60 tr/m2 (chưa VAT tim tường) + Giá bán shop: 80 tr/m2 (chưa VAT tim tường) + Nhà trẻ: cho thuê 3.5$/m2/tháng + Chi phí bán hàng: 19 %/doanh thu b) Giả định xây dựng: + Suất xây dựng: 13tr./m2 (gồm VAT), trang bị nội thất liền tường. + Suất Đầu tư all in: 15tr/m2 + Chi phí pháp lý: 36 tỷ (dành cho gđ xin GPXD, nghiệm thu, ra sổ) + Ls: 12%/năm c) Hiệu quả kinh doanh: LNTT: 956 tỷ LNST: 765 tỷ NPV: 512 tỷ IRR: 141% LNTT/TMĐT: 49,1% 300126_R D_De xuat PA phat trien 2 lo Hoa Xuan_full dat o.pdf Ủa giá mua là bao nhiêu by Admin 01"
TEAMS-MENTION-0161,161,batch_172.txt,Bee || Phân Tích Đầu Tư,,,,,,,300 tỷ,,,,,"Dạ giá mua 2 lô là 300 tỷ. Họ bán hiện trạng đúng theo QH1/500 do đó mình ko nộp tiền sử dụng đất thêm. Ủa a nhớ hồi xưa FS cũ tính ra ko lời mấy, ... by Admin 01"
TEAMS-MENTION-0162,162,batch_172.txt,Bee || Phân Tích Đầu Tư,,,,,,,,,,,,Dạ em xin gửi sếp Admin 01 file báo cáo tổng thể ạ BC Van Phong Mai Chi Tho.pdf Preview Bên đó mà giá 34$ thì hơi cao đó. 30$ thui by Admin 01
TEAMS-MENTION-0163,163,batch_174.txt,Bee || Phân Tích Đầu Tư,,,,,,,,,,,,Huy M - IM 3/25 2:28 PM Translate OK Sếp. Team sẽ trao đổi với RD về nhu cầu của loại hình CHDV ntn. Gửi lại e FS 2 lô Sungroup by Admin 01
TEAMS-MENTION-0164,164,batch_176.txt,Bee || Phân Tích Đầu Tư,,,,,,,,,dân số thậm chí còn thấp hơn số 1.500,,,"Huy M - IM 3/24 5:09 PM Translate Đúng rồi Sếp. Duyệt dân số là toàn dư án , tuy nhiên 4 lock chung cư họ đã xây thì đã sử dụng hết dân số. còn lại miếng đất trống ngoài mặt tiền là làm văn phòng (theo QH 1.500 2008 được duyệt) . QH phân khu mới duyệt vừa rồi dân số thậm chí còn thấp hơn số 1.500 được duyệt nên mình không chuyển được thành ở Sếp Định giá lô này mua nhiêu là ổn by Admin 01"
TEAMS-MENTION-0165,165,batch_178.txt,Bee || Phân Tích Đầu Tư,2026-03-24,3/24/2026 12:00 PM,Admin 01,,,,,,dân số theo QH 1,,,"Admin 01 3/24/2026 12:00 PM Cái 31 TN tính lại chưa ta Thao L - INVT Do vấn đề về pháp lý của các loại hình phải phù hợp với dân số theo QH 1/2000. Hiện trạng bây giờ P.QH đã binh lại theo phương án mới là Căn hộ bán + Căn hộ dịch vụ (chỉ được vận hành, không bán một lần được) Và P.RD đang làm báo cáo thị trường (đặt biệt thị trường loại hình Vận hành căn hộ dịch vụ) Dự kiến trong nay RD sẽ gửi lại báo báo"
TEAMS-MENTION-0166,166,batch_178.txt,Bee || Phân Tích Đầu Tư,,,,Khu Chung Cư & Văn Phòng An Phú 2,,,,,dân số đó là cho toàn khu hã by Admin 01,,,Dạ P.ĐT xin gửi sếp Admin 01 file trình bày ạ Dự Án Khu Chung Cư & Văn Phòng An Phú 2.pdf Ủa được duyệt dân số đó là cho toàn khu hã by Admin 01
TEAMS-MENTION-0167,167,batch_178.txt,Bee || Phân Tích Đầu Tư,,,,như sau,,,7.290 tỷ; 4.520 tỷ,,,,,"P.ĐT thực hiện tính theo phương án bố trí của phòng QH, tương tự PA 1a P.ĐT tạm để trống phần diện tích đất DVCC cấp đô thị và không thực hiện tính toán phần đất này trong FS. Hiệu quả dự án như sau: Doanh thu chưa VAT: 7.290 tỷ đồng (thời điểm mở bán 2028 giá bán căn hộ và giá shop là 60 triệu bao gồm VAT). Tổng mức đầu tư chưa VAT: 4.520 tỷ đồng (T"
TEAMS-MENTION-0168,168,batch_179.txt,Bee || Phân Tích Đầu Tư,,,,như sau,,,,,,,,"P.ĐT thực hiện tính theo phương án bố trí của phòng QH, tương tự PA 1a P.ĐT tạm để trống phần diện tích đất DVCC cấp đô thị và không thực hiện tính toán phần đất này trong FS. Hiệu quả dự án như sau: D"
TEAMS-MENTION-0169,169,batch_183.txt,Bee || Phân Tích Đầu Tư,2026-03-24,3/24/2026 9:59 AM,Tai L - UPDM,Khu chung Cư và văn phòng An PHú Quy hoạch chỉ tiết 1/500 đã được phê duyệt có 3 khu chức năng chính,,,,,Dân số được duyệt: 1.672,,,"Tai L - UPDM 3/24/2026 9:59 AM Dự án Khu chung Cư và văn phòng An PHú Quy hoạch chỉ tiết 1/500 đã được phê duyệt có 3 khu chức năng chính: Văn Phòng, Chung cư, Dịch vụ Dân số được duyệt: 1.672 người. Theo Quy hoạch phân khu được duyệt 15/6/2025 (mới nhất) là 1.488 người ( thấp hơn 184 người so với qhct 1/500 đã được phê duyệt) Khu này không thể chuyển chức năng từ văn phòng sang ở ---Lý do : + QH 1/500 trước đây đã phân khu các khu chức năng: Khu văn phong, khu ở, khu dịch vụ + Dân số không còn Làm cái file báo cáo, đưa bản vẽ và vị trí by Admin 01"
TEAMS-MENTION-0170,170,batch_183.txt,Bee || Phân Tích Đầu Tư,,,,gồm như sau,,"16.536m2; 339,4m2",8.127 tỷ; 133 Triệu/m2,,,,,"P.ĐT thực hiện binh một phương án khác, tăng diện tích đất ở bằng cách chuyển đổi phần đất DVCC cấp đô thị sang đất ở khoảng 16.536m2 (tạm tính 40% x 41.339,4m2). Phần đất ở tăng thêm theo đề xuất và nghiên cứu của RD bố trí làm biệt thự vườn. Hiệu quả dự án gồm như sau: Doanh thu chưa VAT: 8.127 tỷ đồng (Trong đó, Đơn giá bình quân chưa VAT bao gồm đất + CTXD là 133 Triệu/m2; Đơn giá bì"
TEAMS-MENTION-0171,171,batch_187.txt,Bee || Phân Tích Đầu Tư,,,,gồm Chung cư cao tầng gồm 02 Hầm + 02 tầng Khối đế + 26 tầng căn hộ (trong đó căn hộ NOXH chiếm 20% tổng số că,,"5.162m2; 75.540m2; 15,110m2; 52m2; 60,430m2; 58m2; 12,856m2; 629,71m2; 11.805m2; 94m2; 9.447m2; 2.362m2","153,7 tỷ; 12tr/m2; 33 tỷ; 14,27tr/m2; 731,9 tỷ; 43tr/m2; 53tr/m2; 34tr/m2; 23,4tr/m2; 466,6 tỷ; 130 tỷ; 16,55tr/m2; 107,5 tỷ; 11,4tr/m2; 22 tỷ; 5,95tr/m2; 7,1tr/m2; 085,8tỷ; 73tr/m2; 85tr/m2; 8,7tr/m2; 168,2 tỷ; 51,6 tỷ; 11,2tr/m2","hệ số điều chỉnh (K=3,3",Dân số sử dụng: 3.022; dân số theo quy hoạch: 500; Dân số cần xin thêm: 2.522; dân số (500; Dân số sử dụng: 500,IRR= 20%,"NPV = 130 tỷ; NPV = 51,6 tỷ","Thao L - INVT 3/23 11:46 AM Translate 2. PHƯƠNG ÁN PHÁT TRIỂN ĐỀ XUẤT: 2.1. Phương án Cao tầng: Sử dụng hiệu quả nhất các chỉ tiêu quy hoạch và xin thêm 2.522 dân. a. Quy mô: Dự án gồm Chung cư cao tầng gồm 02 Hầm + 02 tầng Khối đế + 26 tầng căn hộ (trong đó căn hộ NOXH chiếm 20% tổng số căn hộ); Trường mầm non và Y tế. b. Loại hình kinh doanh: 02 tầng khối đế cho thuê sàn trung tâm thương mại: 5.162m2 sàn thương phẩm (tỷ lệ thương phẩm trung bình 57%). 26 tầng tháp bán căn hộ: 75.540m2 sàn thương phẩm (tỷ lệ thương phẩm trung bình 73%): .Căn hộ NOXH: 15,110m2 sàn ~ 291 căn, diện tích trung bình 52m2/căn. .Căn hộ thương mại: 60,430m2 sàn 1.040 căn, diện tích trung bình 58m2/căn. Số căn hộ: 1.331 căn. Dân số sử dụng: 3.022 người, dân số theo quy hoạch: 500 người => Dân số cần xin thêm: 2.522 người. c. Thời gian triển khai: Đến cuối 2025: Đền bù giải phóng mặt bằng, Chuyển mục đích SDĐ và hoàn thành pháp lý dự án. 2026 - cuối 2028: Xây dựng và bán hàng theo tiến độ căn hộ thương phẩm. Cuối 2028: Bán sàn TTTM. 2029: Bán căn hộ NOXH. d. Tổng mức đầu tư : Tiền sử dụng đất: Tạm tính theo phương pháp hệ số điều chỉnh (K=3,3): 153,7 tỷ ~ 12tr/m2 cho 12,856m2 đất ở tương ứng phần căn hộ thương mại Chi phí pháp lý gồm VAT: 33 tỷ. Đơn giá xây dựng allin gồm VAT (Dự phòng phát sinh 10%; trượt giá 3%/năm): 14,27tr/m2 – chuẩn B. e. Tổng doanh thu (gồm VAT): 3.731,9 tỷ: Cơ sở đơn giá bán căn hộ thương mại: căn hộ chuẩn B, đơn giá bán 2023: 43tr/m2, tỷ lệ tăng giá: 5%/năm. Đơn giá bán căn hộ thương mại trung bình từ 2026-2028 (gồm VAT): 53tr/m2 sàn. Đơn giá chiết khấu sàn TTTM 2028 (gồm VAT) : 34tr/m2 sàn. Đơn giá bán căn hộ NOXH 2029 (gồm VAT): 23,4tr/m2 sàn f. Hiệu quả đầu tư: Để Dự án đạt hiệu quả tài chính với Lợi nhuận sau thuế = 466,6 tỷ; NPV = 130 tỷ; IRR= 20% khi đơn giá gom đấ"
TEAMS-MENTION-0172,172,batch_187.txt,Bee || Phân Tích Đầu Tư,,,,,,"629,71m2","16,55tr/m2; 11,2tr/m2",,dân và để IRR= 20; dân số (500; dân theo QH đươc duyệt) và để IRR= 20,IRR= 20%,,"Thao L - INVT 3/23 11:46 AM Translate 3. ĐỀ XUẤT – KIẾN NGHỊ: - Phương án Cao tầng: Sử dụng hiệu quả nhất các chỉ tiêu quy hoạch, phải xin thêm 2.522 dân và để IRR= 20% khi đơn giá gom đất trung bình cho tổng diện tích đất 27.629,71m2 là 16,55tr/m2 cho đa phần là đất lúa và cây hằng năm khác. - Phương án Thấp tầng: Không xin thêm dân số (500 dân theo QH đươc duyệt) và để IRR= 20% khi đơn giá gom đất trung bình cho tổng diện tích đất 27.629,71m2 là 11,2tr/m2 cho đa phần là đất lúa và cây hằng năm khác. Lưu y: Ưu tiên gom phần đất có đất ở lâu dài. Kiểm tra rà soát lại quy hoạch – kế hoạch sử dụng đất. Link hồ sơ: https://belgroupvn.sharepoint.com/:f:/s/BeeGroupCEOOffice-03.KhiuT/EhdOBwEZr9BLizzt2y8c65sBcoV55YotLjkiw0hG4jOV1g?e=JsD4bM + I.12 được quy hoạch là Đất nhóm nhà ở... by Admin 01"
TEAMS-MENTION-0173,173,batch_187.txt,Bee || Phân Tích Đầu Tư,,,,,,"2,15ha",,HSSDĐ: 7,Dân số: 500,,,"Admin 01 3/23 11:52 AM Translate + I.12 được quy hoạch là Đất nhóm nhà ở quy hoạch giai đoạn ngắn hạn (Đất nhóm nhà ở hiện hữu kết hợp xây dựng mới) có Diện tích: 2,15ha; MĐXD tối đa: 50%; Tầng cao tối đa: 30 tầng; HSSDĐ: 7 lần và Dân số: 500 người. => Được có 500 dân thì sử dụng sao hết đc hệ số ta, ko lẽ làm TMDV Với số dân đó thì chỉ làm thấp tầng được th... by Huy M - IM"
TEAMS-MENTION-0174,174,batch_187.txt,Bee || Phân Tích Đầu Tư,,,,,,,,,,,,Huy M - IM 3/23 11:55 AM Translate Với số dân đó thì chỉ làm thấp tầng được thôi à Sếp. Và làm thấp tầng thì giá đầu vào mình mua thấp hơn so với nếu phương án làm cao tầng. Mà làm cao tầng thì phải xin thêm 2000 dân 3. ĐỀ XUẤT – KIẾN NGHỊ: - Phương án Cao tần... by Huy M - IM
