task,rank,family,setName,model,featureCount,nFolds,avgPrecision,stdPrecision,minPrecision,precisionCI95LowerMean,avgRecall,avgF1,totalPredN,expectedNetPnlPerTrade,passP70,passConservative,score
D1A,1,SMA,sma200_dist,LOG,1,1,57.14,0.0,57.14,28.57,28.57,38.1,14,1.171,False,False,86.586
D1A,2,AO,ao_slope5,ET,1,1,33.33,0.0,33.33,0.0,3.57,6.45,3,-0.734,False,False,10.505
D1A,3,SMA,sma10_dist,ET,1,1,25.0,0.0,25.0,0.0,3.57,6.25,4,-1.4,False,False,7.193
D1A,4,TRIX,TRIX_ALL,ET,2,1,0.0,0.0,0.0,0.0,0.0,0.0,4,-3.4,False,False,-4.771
D1A,5,MOMENTUM,mom10,ET,1,1,0.0,0.0,0.0,0.0,0.0,0.0,2,-3.4,False,False,-4.891
RESISTANCE_REJECT,1,BOLLINGER,BOLLINGER_ALL,LOG,3,1,66.67,0.0,66.67,15.83,11.11,19.05,3,1.934,False,False,70.95
RESISTANCE_REJECT,2,BOLLINGER,bb_width,LOG,1,1,14.29,0.0,14.29,0.0,5.56,8.0,7,-2.257,False,False,3.837
RESISTANCE_REJECT,3,SMA,sma10_dist,RF,1,1,12.5,0.0,12.5,0.0,5.56,7.69,8,-2.4,False,False,3.119
RESISTANCE_REJECT,4,SMA,SMA_ma,RF,8,1,0.0,0.0,0.0,0.0,0.0,0.0,2,-3.4,False,False,-4.891
