date,symbol,open,high,low,close,volume,source,fetchedAt,series
2022-01-04,VNFIN,1654.14,1675.56,1654.14,1669.89,166296100,vndirect_dchart_public,2026-06-08T09:01:06.145780+00:00,banking_index
2022-01-05,VNFIN,1670.34,1671.5,1652.2,1653.42,168038100,vndirect_dchart_public,2026-06-08T09:01:06.145795+00:00,banking_index
2022-01-06,VNFIN,1643.49,1658.45,1638.14,1643.41,180386800,vndirect_dchart_public,2026-06-08T09:01:06.145800+00:00,banking_index
2022-01-07,VNFIN,1641.87,1648.27,1627.31,1627.31,142742900,vndirect_dchart_public,2026-06-08T09:01:06.145804+00:00,banking_index
2022-01-10,VNFIN,1626.25,1629.76,1600.5,1600.5,156813500,vndirect_dchart_public,2026-06-08T09:01:06.145808+00:00,banking_index
2022-01-11,VNFIN,1600.3,1618.7,1590.08,1592.36,147247600,vndirect_dchart_public,2026-06-08T09:01:06.145812+00:00,banking_index
2022-01-12,VNFIN,1591.79,1652.83,1582.91,1652.83,225744500,vndirect_dchart_public,2026-06-08T09:01:06.145815+00:00,banking_index
2022-01-13,VNFIN,1658.18,1704.14,1652.15,1652.15,256190800,vndirect_dchart_public,2026-06-08T09:01:06.145818+00:00,banking_index
2022-01-14,VNFIN,1647.69,1655.68,1634.01,1642.0,105786000,vndirect_dchart_public,2026-06-08T09:01:06.145822+00:00,banking_index
2022-01-17,VNFIN,1644.66,1658.57,1589.71,1589.71,246064700,vndirect_dchart_public,2026-06-08T09:01:06.145825+00:00,banking_index
2022-01-18,VNFIN,1580.1,1608.52,1572.81,1586.06,163454500,vndirect_dchart_public,2026-06-08T09:01:06.145829+00:00,banking_index
2022-01-19,VNFIN,1592.86,1605.63,1581.58,1590.34,102872100,vndirect_dchart_public,2026-06-08T09:01:06.145832+00:00,banking_index
2022-01-20,VNFIN,1588.17,1614.96,1573.12,1608.43,130529400,vndirect_dchart_public,2026-06-08T09:01:06.145836+00:00,banking_index
2022-01-21,VNFIN,1610.21,1656.29,1607.3,1635.07,185749600,vndirect_dchart_public,2026-06-08T09:01:06.145839+00:00,banking_index
2022-01-24,VNFIN,1631.38,1654.74,1608.14,1619.21,194740500,vndirect_dchart_public,2026-06-08T09:01:06.145842+00:00,banking_index
2022-01-25,VNFIN,1619.64,1672.62,1619.32,1672.62,166549200,vndirect_dchart_public,2026-06-08T09:01:06.145845+00:00,banking_index
2022-01-26,VNFIN,1678.26,1711.37,1678.26,1696.88,234031100,vndirect_dchart_public,2026-06-08T09:01:06.145849+00:00,banking_index
2022-01-27,VNFIN,1690.09,1705.36,1674.29,1685.89,143671100,vndirect_dchart_public,2026-06-08T09:01:06.145852+00:00,banking_index
2022-01-28,VNFIN,1686.32,1717.52,1686.32,1711.72,168424600,vndirect_dchart_public,2026-06-08T09:01:06.145856+00:00,banking_index
2022-02-07,VNFIN,1734.37,1735.13,1715.63,1715.76,144802300,vndirect_dchart_public,2026-06-08T09:01:06.145859+00:00,banking_index
2022-02-08,VNFIN,1711.53,1740.99,1707.84,1733.02,203806700,vndirect_dchart_public,2026-06-08T09:01:06.145864+00:00,banking_index
2022-02-09,VNFIN,1737.33,1749.28,1724.4,1724.4,190608100,vndirect_dchart_public,2026-06-08T09:01:06.145868+00:00,banking_index
2022-02-10,VNFIN,1726.86,1734.47,1709.7,1722.18,165951000,vndirect_dchart_public,2026-06-08T09:01:06.145871+00:00,banking_index
2022-02-11,VNFIN,1720.53,1738.51,1717.33,1730.62,157969900,vndirect_dchart_public,2026-06-08T09:01:06.145874+00:00,banking_index
2022-02-14,VNFIN,1707.99,1716.91,1649.36,1649.36,247110500,vndirect_dchart_public,2026-06-08T09:01:06.145878+00:00,banking_index
2022-02-15,VNFIN,1655.84,1679.37,1647.66,1675.58,160273800,vndirect_dchart_public,2026-06-08T09:01:06.145881+00:00,banking_index
2022-02-16,VNFIN,1687.35,1687.35,1662.38,1668.52,114270700,vndirect_dchart_public,2026-06-08T09:01:06.145885+00:00,banking_index
2022-02-17,VNFIN,1667.99,1684.78,1667.89,1683.06,104481400,vndirect_dchart_public,2026-06-08T09:01:06.145888+00:00,banking_index
2022-02-18,VNFIN,1668.47,1675.9,1665.42,1670.6,159216600,vndirect_dchart_public,2026-06-08T09:01:06.145891+00:00,banking_index
2022-02-21,VNFIN,1667.73,1683.67,1655.69,1676.75,165888300,vndirect_dchart_public,2026-06-08T09:01:06.145895+00:00,banking_index
2022-02-22,VNFIN,1674.3,1680.43,1649.29,1679.14,178005000,vndirect_dchart_public,2026-06-08T09:01:06.145898+00:00,banking_index
2022-02-23,VNFIN,1687.23,1697.67,1683.97,1683.97,150829400,vndirect_dchart_public,2026-06-08T09:01:06.145901+00:00,banking_index
2022-02-24,VNFIN,1684.42,1698.47,1635.33,1669.31,266549700,vndirect_dchart_public,2026-06-08T09:01:06.145905+00:00,banking_index
2022-02-25,VNFIN,1682.15,1702.26,1678.0,1689.34,201060700,vndirect_dchart_public,2026-06-08T09:01:06.145908+00:00,banking_index
2022-02-28,VNFIN,1689.79,1695.92,1673.1,1676.77,152841700,vndirect_dchart_public,2026-06-08T09:01:06.145912+00:00,banking_index
