date,symbol,vnindex_pe,vnindex_pb,vnindex_ps,frequency,source,fetchedAt,month
2025-06-29,VNINDEX,12.32,1.6,0.0,monthly_last_trading_day,vietstock_finance_valuation_public,2026-06-08T10:19:10.215048+00:00,2025-06
2025-07-30,VNINDEX,12.89,1.72,0.0,monthly_last_trading_day,vietstock_finance_valuation_public,2026-06-08T10:19:10.215052+00:00,2025-07
2025-08-28,VNINDEX,14.22,1.91,0.0,monthly_last_trading_day,vietstock_finance_valuation_public,2026-06-08T10:19:10.215056+00:00,2025-08
2025-09-29,VNINDEX,14.16,1.92,0.0,monthly_last_trading_day,vietstock_finance_valuation_public,2026-06-08T10:19:10.215060+00:00,2025-09
2025-10-30,VNINDEX,13.5,1.83,0.0,monthly_last_trading_day,vietstock_finance_valuation_public,2026-06-08T10:19:10.215064+00:00,2025-10
2025-11-27,VNINDEX,14.01,1.89,0.0,monthly_last_trading_day,vietstock_finance_valuation_public,2026-06-08T10:19:10.215067+00:00,2025-11
2025-12-30,VNINDEX,13.48,1.97,0.0,monthly_last_trading_day,vietstock_finance_valuation_public,2026-06-08T10:19:10.215071+00:00,2025-12
2026-01-29,VNINDEX,13.61,2.04,0.0,monthly_last_trading_day,vietstock_finance_valuation_public,2026-06-08T10:19:10.215077+00:00,2026-01
2026-02-26,VNINDEX,13.77,2.12,0.0,monthly_last_trading_day,vietstock_finance_valuation_public,2026-06-08T10:19:10.215080+00:00,2026-02
2026-03-30,VNINDEX,12.46,1.88,0.0,monthly_last_trading_day,vietstock_finance_valuation_public,2026-06-08T10:19:10.215084+00:00,2026-03
2026-04-28,VNINDEX,12.8,2.03,0.0,monthly_last_trading_day,vietstock_finance_valuation_public,2026-06-08T10:19:10.215088+00:00,2026-04
2026-05-28,VNINDEX,12.53,2.0,0.0,monthly_last_trading_day,vietstock_finance_valuation_public,2026-06-08T10:19:10.215092+00:00,2026-05
2026-06-07,VNINDEX,12.12,1.92,0.0,monthly_last_trading_day,vietstock_finance_valuation_public,2026-06-08T10:19:10.215096+00:00,2026-06
