date,category,indicator,value,source_file,sheet,orientation,source,parserVersion
2/2026,rates,Lãi suất huy động bình quân trên 12 tháng (cao nhất),0.066,FiinProX_Lai suat thong ke cua NHNN_20266_20260605.xlsx,Sheet1,wide_table,FiinProX Excel Export,fiinprox_excel_v1
2/2026,rates,Lãi suất huy động bình quân trên 12 tháng (thấp nhất),0.052,FiinProX_Lai suat thong ke cua NHNN_20266_20260605.xlsx,Sheet1,wide_table,FiinProX Excel Export,fiinprox_excel_v1
2020-01-21,rates,LSHĐ_USD - Cá nhân (M),0.0,FiinProX_DE_Du_lieu_vi_mo_20260605 (2).xlsx,Sheet1,row_table,FiinProX Excel Export,fiinprox_excel_v1
2020-01-21,rates,LSHĐ_USD - Tổ chức (M),0.0,FiinProX_DE_Du_lieu_vi_mo_20260605 (2).xlsx,Sheet1,row_table,FiinProX Excel Export,fiinprox_excel_v1
2020-01-21,rates,LSHĐ_VND - Kỳ hạn 1 - 6 tháng - Cao nhất (M),0.05,FiinProX_DE_Du_lieu_vi_mo_20260605 (2).xlsx,Sheet1,row_table,FiinProX Excel Export,fiinprox_excel_v1
2020-01-21,rates,LSHĐ_VND - Kỳ hạn 1 - 6 tháng - Thấp nhất (M),0.043,FiinProX_DE_Du_lieu_vi_mo_20260605 (2).xlsx,Sheet1,row_table,FiinProX Excel Export,fiinprox_excel_v1
2020-01-21,rates,LSHĐ_VND - Kỳ hạn 6 - 12 tháng - Cao nhất (M),0.07,FiinProX_DE_Du_lieu_vi_mo_20260605 (2).xlsx,Sheet1,row_table,FiinProX Excel Export,fiinprox_excel_v1
2020-01-21,rates,LSHĐ_VND - Kỳ hạn 6 - 12 tháng - Thấp nhất (M),0.053,FiinProX_DE_Du_lieu_vi_mo_20260605 (2).xlsx,Sheet1,row_table,FiinProX Excel Export,fiinprox_excel_v1
2020-01-21,rates,LSHĐ_VND - Kỳ hạn < 1 tháng - Cao nhất (M),0.008,FiinProX_DE_Du_lieu_vi_mo_20260605 (2).xlsx,Sheet1,row_table,FiinProX Excel Export,fiinprox_excel_v1
2020-01-21,rates,LSHĐ_VND - Kỳ hạn < 1 tháng - Thấp nhất (M),0.002,FiinProX_DE_Du_lieu_vi_mo_20260605 (2).xlsx,Sheet1,row_table,FiinProX Excel Export,fiinprox_excel_v1
