symbol,sectorGroup,configSector,date,close,currentZone,S1,S1_strength,S2,R1,R1_strength,R2,core12Indicators,mlModel,mlAvgP,mlAvgR,priceStatus,reason,core12Positive,core12Negative,core12Neutral,holdScore,breakRiskScore,finalStatus
FTS,CHUNG_KHOAN,CHUNG_KHOAN,2026-06-03,24.05,23.94-24.13,22.91-23.11,weak,21.26-21.46,24.60-24.80,weak,26.43-26.63,MFI_CMF + SR_CLUSTER + VWAP_VWMA + ROC_MOMENTUM + RSI,ET,100.0,50.0,GIỮ VÙNG HIỆN TẠI,close nằm trong/gần current zone,2,3,0,40.0,60.0,GIỮ VÙNG HIỆN TẠI
GAS,ENERGY_UTIL,ALL,2026-07-03,75.3,75.50-76.10,72.90-73.50,strong,60.47-61.07,78.01-78.62,strong,84.92-85.52,MFI_CMF + ROC_MOMENTUM + PVI_NVI + ADX_DMI + RSI,RF,70.45,12.16,GIỮ VÙNG HIỆN TẠI,close nằm trong/gần current zone,0,3,2,0.0,60.0,GIỮ GIÁ NHƯNG CORE12 YẾU
GEG,OTHER,ALL,2026-06-03,14.0,13.98-14.06,,,,14.43-14.51,strong,15.36-15.44,MFI_CMF + ROC_MOMENTUM + PVI_NVI + ADX_DMI + RSI,RF,70.45,12.16,GIỮ VÙNG HIỆN TẠI,close nằm trong/gần current zone,0,3,2,0.0,60.0,GIỮ GIÁ NHƯNG CORE12 YẾU
GEX,STEEL_MATERIAL,ALL,2026-07-03,30.55,,29.69-29.94,strong,27.98-28.23,31.68-31.93,strong,33.57-33.81,MFI_CMF + ROC_MOMENTUM + PVI_NVI + ADX_DMI + RSI,RF,70.45,12.16,GIỮ TRÊN HỖ TRỢ,trên S1 khoảng 2.42%,4,0,1,80.0,0.0,GIỮ HỖ TRỢ / CORE12 ỦNG HỘ
GIL,OTHER,ALL,2026-06-30,11.6,,11.38-11.47,strong,,12.10-12.19,medium,13.32-13.40,MFI_CMF + ROC_MOMENTUM + PVI_NVI + ADX_DMI + RSI,RF,70.45,12.16,TEST S1 / CHƯA GÃY RÕ,close sát S1 11.38-11.47,1,4,0,20.0,80.0,TEST HỖ TRỢ - RỦI RO GÃY CAO
GVR,OTHER,ALL,2026-07-03,32.5,,31.90-32.16,strong,28.46-28.72,33.99-34.25,strong,35.94-36.20,MFI_CMF + ROC_MOMENTUM + PVI_NVI + ADX_DMI + RSI,RF,70.45,12.16,TEST S1 / CHƯA GÃY RÕ,close sát S1 31.90-32.16,3,1,1,60.0,20.0,GIỮ HỖ TRỢ / CORE12 ỦNG HỘ
HAG,OTHER,ALL,2026-06-03,15.4,15.31-15.41,14.90-15.00,weak,,17.04-17.15,strong,18.35-18.45,MFI_CMF + ROC_MOMENTUM + PVI_NVI + ADX_DMI + RSI,RF,70.45,12.16,GIỮ VÙNG HIỆN TẠI,close nằm trong/gần current zone,1,3,1,20.0,60.0,GIỮ GIÁ NHƯNG CORE12 YẾU
HAH,INDUSTRIAL_LOGISTICS,ALL,2026-06-30,52.2,,49.49-49.91,weak,,55.93-56.35,strong,59.07-59.48,MFI_CMF + ROC_MOMENTUM + PVI_NVI + ADX_DMI + RSI,RF,70.45,12.16,GIỮ TRÊN HỖ TRỢ,trên S1 khoảng 4.79%,0,4,1,0.0,80.0,GIỮ GIÁ NHƯNG CORE12 YẾU
HBC,OTHER,ALL,2026-06-30,5.0,4.98-5.02,4.78-4.82,strong,,5.18-5.22,strong,5.58-5.62,MFI_CMF + ROC_MOMENTUM + PVI_NVI + ADX_DMI + RSI,RF,70.45,12.16,GIỮ VÙNG HIỆN TẠI,close nằm trong/gần current zone,2,2,1,40.0,40.0,GIỮ VÙNG HIỆN TẠI
HCM,CHUNG_KHOAN,CHUNG_KHOAN,2026-07-03,28.55,28.29-28.51,25.64-25.86,strong,23.24-23.46,30.34-30.56,weak,,MFI_CMF + SR_CLUSTER + VWAP_VWMA + ROC_MOMENTUM + RSI,ET,100.0,50.0,GIỮ VÙNG HIỆN TẠI,close nằm trong/gần current zone,5,0,0,100.0,0.0,GIỮ HỖ TRỢ / CORE12 ỦNG HỘ
