symbol,sectorGroup,configSector,date,close,currentZone,S1,S1_strength,S2,R1,R1_strength,R2,core12Indicators,mlModel,mlAvgP,mlAvgR,priceStatus,reason,core12Positive,core12Negative,core12Neutral,holdScore,breakRiskScore,finalStatus
QCG,OTHER,ALL,2026-06-30,12.0,11.95-12.05,,,,13.25-13.35,strong,13.96-14.05,MFI_CMF + ROC_MOMENTUM + PVI_NVI + ADX_DMI + RSI,RF,70.45,12.16,GIỮ VÙNG HIỆN TẠI,close nằm trong/gần current zone,1,3,1,20.0,60.0,GIỮ GIÁ NHƯNG CORE12 YẾU
QNS,OTHER,ALL,2026-06-03,47.5,47.29-47.55,44.06-44.32,strong,41.24-41.50,48.97-49.23,strong,,MFI_CMF + ROC_MOMENTUM + PVI_NVI + ADX_DMI + RSI,RF,70.45,12.16,GIỮ VÙNG HIỆN TẠI,close nằm trong/gần current zone,2,1,2,40.0,20.0,GIỮ VÙNG HIỆN TẠI
REE,OTHER,ALL,2026-07-03,48.8,,,,,52.03-52.26,strong,55.62-55.85,MFI_CMF + ROC_MOMENTUM + PVI_NVI + ADX_DMI + RSI,RF,70.45,12.16,CHƯA CÓ S1 RÕ,không đủ cụm hỗ trợ major,1,4,0,20.0,80.0,GIỮ GIÁ NHƯNG CORE12 YẾU
SAB,RETAIL_CONSUMER,RETAIL_CONSUMER,2026-07-03,47.9,47.57-47.86,45.05-45.33,strong,42.01-42.30,48.81-49.09,strong,52.90-53.18,MFI_CMF + VWAP_VWMA + ROC_MOMENTUM + MA_EMA_WMA + PVI_NVI,ET,80.0,58.34,GIỮ VÙNG HIỆN TẠI,close nằm trong/gần current zone,2,1,2,40.0,20.0,GIỮ VÙNG HIỆN TẠI
SBT,OTHER,ALL,2026-06-30,21.25,21.08-21.24,20.34-20.51,strong,19.07-19.23,22.57-22.73,strong,23.95-24.11,MFI_CMF + ROC_MOMENTUM + PVI_NVI + ADX_DMI + RSI,RF,70.45,12.16,GIỮ VÙNG HIỆN TẠI,close nằm trong/gần current zone,2,1,2,40.0,20.0,GIỮ VÙNG HIỆN TẠI
SCR,OTHER,ALL,2026-06-30,5.07,,,,,5.34-5.37,medium,5.83-5.87,MFI_CMF + ROC_MOMENTUM + PVI_NVI + ADX_DMI + RSI,RF,70.45,12.16,CHƯA CÓ S1 RÕ,không đủ cụm hỗ trợ major,0,5,0,0.0,100.0,GIỮ GIÁ NHƯNG CORE12 YẾU
SHB,BANK,BANK,2026-06-03,13.8,,13.05-13.15,weak,,13.95-14.05,strong,15.37-15.47,ROC_MOMENTUM + MFI_CMF + TRIX + ICHIMOKU + SR_CLUSTER,LOG,24.27,91.11,GIỮ TRÊN HỖ TRỢ,trên S1 khoảng 5.07%,0,4,1,0.0,80.0,GIỮ GIÁ NHƯNG CORE12 YẾU
SHS,CHUNG_KHOAN,CHUNG_KHOAN,2026-06-03,18.4,18.31-18.46,17.68-17.83,strong,16.54-16.68,18.80-18.95,strong,20.49-20.64,MFI_CMF + SR_CLUSTER + VWAP_VWMA + ROC_MOMENTUM + RSI,ET,100.0,50.0,GIỮ VÙNG HIỆN TẠI,close nằm trong/gần current zone,4,0,1,80.0,0.0,GIỮ HỖ TRỢ / CORE12 ỦNG HỘ
SJS,OTHER,ALL,2026-06-30,48.0,,46.84-47.21,strong,,51.78-52.15,strong,55.31-55.69,MFI_CMF + ROC_MOMENTUM + PVI_NVI + ADX_DMI + RSI,RF,70.45,12.16,GIỮ TRÊN HỖ TRỢ,trên S1 khoảng 2.04%,1,3,1,20.0,60.0,GIỮ GIÁ NHƯNG CORE12 YẾU
SKG,OTHER,ALL,2026-06-30,8.36,,8.23-8.27,weak,,8.48-8.53,strong,9.42-9.47,MFI_CMF + ROC_MOMENTUM + PVI_NVI + ADX_DMI + RSI,RF,70.45,12.16,TEST S1 / CHƯA GÃY RÕ,close sát S1 8.23-8.27,0,5,0,0.0,100.0,TEST HỖ TRỢ - RỦI RO GÃY CAO
SLS,OTHER,ALL,2026-06-30,150.8,150.76-151.21,132.27-132.73,weak,,158.77-159.23,strong,173.77-174.23,MFI_CMF + ROC_MOMENTUM + PVI_NVI + ADX_DMI + RSI,RF,70.45,12.16,GIỮ VÙNG HIỆN TẠI,close nằm trong/gần current zone,2,3,0,40.0,60.0,GIỮ VÙNG HIỆN TẠI
SSB,BANK,BANK,2026-06-03,14.4,14.39-14.50,13.69-13.80,strong,,14.87-14.98,strong,15.71-15.81,ROC_MOMENTUM + MFI_CMF + TRIX + ICHIMOKU + SR_CLUSTER,LOG,24.27,91.11,GIỮ VÙNG HIỆN TẠI,close nằm trong/gần current zone,4,0,1,80.0,0.0,GIỮ HỖ TRỢ / CORE12 ỦNG HỘ
SSI,CHUNG_KHOAN,CHUNG_KHOAN,2026-07-03,27.35,27.23-27.41,26.11-26.29,strong,,27.92-28.10,strong,31.49-31.66,MFI_CMF + SR_CLUSTER + VWAP_VWMA + ROC_MOMENTUM + RSI,ET,100.0,50.0,GIỮ VÙNG HIỆN TẠI,close nằm trong/gần current zone,3,2,0,60.0,40.0,GIỮ VÙNG HIỆN TẠI
STB,BANK,BANK,2026-07-03,72.0,,70.23-70.80,strong,65.96-66.54,73.22-73.80,medium,,ROC_MOMENTUM + MFI_CMF + TRIX + ICHIMOKU + SR_CLUSTER,LOG,24.27,91.11,GIỮ TRÊN HỖ TRỢ,trên S1 khoảng 2.06%,2,0,3,40.0,0.0,GIỮ HỖ TRỢ / CORE12 ỦNG HỘ
SZC,INDUSTRIAL_LOGISTICS,ALL,2026-07-03,22.2,22.05-22.22,,,,24.14-24.31,medium,27.32-27.48,MFI_CMF + ROC_MOMENTUM + PVI_NVI + ADX_DMI + RSI,RF,70.45,12.16,GIỮ VÙNG HIỆN TẠI,close nằm trong/gần current zone,1,3,1,20.0,60.0,GIỮ GIÁ NHƯNG CORE12 YẾU
TCB,BANK,BANK,2026-07-03,33.6,33.59-33.85,30.69-30.95,strong,28.52-28.78,34.58-34.84,strong,37.28-37.54,ROC_MOMENTUM + MFI_CMF + TRIX + ICHIMOKU + SR_CLUSTER,LOG,24.27,91.11,GIỮ VÙNG HIỆN TẠI,close nằm trong/gần current zone,4,0,1,80.0,0.0,GIỮ HỖ TRỢ / CORE12 ỦNG HỘ
TCH,OTHER,ALL,2026-06-30,14.55,14.49-14.61,14.13-14.24,medium,12.79-12.91,15.43-15.55,strong,16.66-16.78,MFI_CMF + ROC_MOMENTUM + PVI_NVI + ADX_DMI + RSI,RF,70.45,12.16,GIỮ VÙNG HIỆN TẠI,close nằm trong/gần current zone,2,3,0,40.0,60.0,GIỮ VÙNG HIỆN TẠI
TIG,OTHER,ALL,2026-06-30,6.4,6.37-6.43,6.17-6.23,weak,,6.67-6.72,strong,7.37-7.43,MFI_CMF + ROC_MOMENTUM + PVI_NVI + ADX_DMI + RSI,RF,70.45,12.16,GIỮ VÙNG HIỆN TẠI,close nằm trong/gần current zone,2,2,1,40.0,40.0,GIỮ VÙNG HIỆN TẠI
TMS,OTHER,ALL,2026-06-30,37.45,,,,,40.04-40.34,strong,42.84-43.14,MFI_CMF + ROC_MOMENTUM + PVI_NVI + ADX_DMI + RSI,RF,70.45,12.16,CHƯA CÓ S1 RÕ,không đủ cụm hỗ trợ major,0,3,2,0.0,60.0,GIỮ GIÁ NHƯNG CORE12 YẾU
TNG,OTHER,ALL,2026-06-30,20.0,19.94-20.10,18.37-18.53,strong,17.02-17.18,20.98-21.13,strong,22.53-22.69,MFI_CMF + ROC_MOMENTUM + PVI_NVI + ADX_DMI + RSI,RF,70.45,12.16,GIỮ VÙNG HIỆN TẠI,close nằm trong/gần current zone,2,3,0,40.0,60.0,GIỮ VÙNG HIỆN TẠI
TPB,BANK,BANK,2026-06-03,15.7,15.65-15.76,15.07-15.18,strong,,16.55-16.66,strong,17.51-17.61,ROC_MOMENTUM + MFI_CMF + TRIX + ICHIMOKU + SR_CLUSTER,LOG,24.27,91.11,GIỮ VÙNG HIỆN TẠI,close nằm trong/gần current zone,2,2,1,40.0,40.0,GIỮ VÙNG HIỆN TẠI
TV2,OTHER,ALL,2026-06-30,29.2,,27.88-28.12,strong,,30.32-30.55,strong,34.37-34.60,MFI_CMF + ROC_MOMENTUM + PVI_NVI + ADX_DMI + RSI,RF,70.45,12.16,GIỮ TRÊN HỖ TRỢ,trên S1 khoảng 4.11%,2,3,0,40.0,60.0,GIỮ TRÊN HỖ TRỢ
VCB,BANK,BANK,2026-06-03,61.9,61.68-62.18,59.05-59.55,strong,,65.93-66.42,medium,73.05-73.55,ROC_MOMENTUM + MFI_CMF + TRIX + ICHIMOKU + SR_CLUSTER,LOG,24.27,91.11,GIỮ VÙNG HIỆN TẠI,close nằm trong/gần current zone,2,1,2,40.0,20.0,GIỮ VÙNG HIỆN TẠI
VCG,OTHER,ALL,2026-06-30,20.8,,20.12-20.26,strong,18.93-19.07,21.28-21.42,medium,23.12-23.26,MFI_CMF + ROC_MOMENTUM + PVI_NVI + ADX_DMI + RSI,RF,70.45,12.16,GIỮ TRÊN HỖ TRỢ,trên S1 khoảng 2.93%,3,1,1,60.0,20.0,GIỮ HỖ TRỢ / CORE12 ỦNG HỘ
VCI,CHUNG_KHOAN,CHUNG_KHOAN,2026-07-03,25.1,24.99-25.19,23.99-24.19,strong,,25.94-26.14,strong,27.81-28.01,MFI_CMF + SR_CLUSTER + VWAP_VWMA + ROC_MOMENTUM + RSI,ET,100.0,50.0,GIỮ VÙNG HIỆN TẠI,close nằm trong/gần current zone,2,3,0,40.0,60.0,GIỮ VÙNG HIỆN TẠI
VGC,INDUSTRIAL_LOGISTICS,ALL,2026-06-30,45.0,44.75-45.11,42.68-43.04,strong,39.97-40.33,46.09-46.45,strong,50.32-50.68,MFI_CMF + ROC_MOMENTUM + PVI_NVI + ADX_DMI + RSI,RF,70.45,12.16,GIỮ VÙNG HIỆN TẠI,close nằm trong/gần current zone,3,1,1,60.0,20.0,GIỮ HỖ TRỢ / CORE12 ỦNG HỘ
VHC,OTHER,ALL,2026-07-03,59.3,59.29-59.66,55.43-55.80,strong,50.51-50.89,60.89-61.26,strong,65.11-65.49,MFI_CMF + ROC_MOMENTUM + PVI_NVI + ADX_DMI + RSI,RF,70.45,12.16,GIỮ VÙNG HIỆN TẠI,close nằm trong/gần current zone,3,1,1,60.0,20.0,GIỮ HỖ TRỢ / CORE12 ỦNG HỘ
VHM,BDS,BDS,2026-07-03,151.6,,144.73-145.95,strong,136.33-137.55,155.01-156.23,weak,166.28-167.50,SUPERTREND + MA_EMA_WMA + TRIX + VWAP_VWMA + PVI_NVI,ET,100.0,20.84,GIỮ TRÊN HỖ TRỢ,trên S1 khoảng 4.13%,3,1,1,60.0,20.0,GIỮ HỖ TRỢ / CORE12 ỦNG HỘ
VIB,BANK,BANK,2026-07-03,16.45,16.41-16.52,15.63-15.74,strong,14.69-14.79,17.21-17.32,strong,18.30-18.40,ROC_MOMENTUM + MFI_CMF + TRIX + ICHIMOKU + SR_CLUSTER,LOG,24.27,91.11,GIỮ VÙNG HIỆN TẠI,close nằm trong/gần current zone,4,0,1,80.0,0.0,GIỮ HỖ TRỢ / CORE12 ỦNG HỘ
VIC,BDS,BDS,2026-07-03,220.3,,208.72-210.49,medium,189.44-191.20,230.80-232.56,medium,,SUPERTREND + MA_EMA_WMA + TRIX + VWAP_VWMA + PVI_NVI,ET,100.0,20.84,GIỮ TRÊN HỖ TRỢ,trên S1 khoảng 4.86%,3,1,1,60.0,20.0,GIỮ HỖ TRỢ / CORE12 ỦNG HỘ
VIX,CHUNG_KHOAN,CHUNG_KHOAN,2026-06-30,16.9,,15.78-15.92,strong,,17.29-17.43,strong,19.73-19.86,MFI_CMF + SR_CLUSTER + VWAP_VWMA + ROC_MOMENTUM + RSI,ET,100.0,50.0,GIỮ TRÊN HỖ TRỢ,trên S1 khoảng 6.21%,1,1,3,20.0,20.0,GIỮ TRÊN HỖ TRỢ
VJC,OTHER,ALL,2026-06-03,170.8,169.91-171.01,159.21-160.31,strong,146.15-147.25,177.51-178.61,strong,189.45-190.55,MFI_CMF + ROC_MOMENTUM + PVI_NVI + ADX_DMI + RSI,RF,70.45,12.16,GIỮ VÙNG HIỆN TẠI,close nằm trong/gần current zone,2,1,2,40.0,20.0,GIỮ VÙNG HIỆN TẠI
VND,CHUNG_KHOAN,CHUNG_KHOAN,2026-07-03,18.4,,17.60-17.75,strong,16.46-16.61,18.72-18.87,strong,19.87-20.02,MFI_CMF + SR_CLUSTER + VWAP_VWMA + ROC_MOMENTUM + RSI,ET,100.0,50.0,GIỮ TRÊN HỖ TRỢ,trên S1 khoảng 3.91%,4,0,1,80.0,0.0,GIỮ HỖ TRỢ / CORE12 ỦNG HỘ
VNM,RETAIL_CONSUMER,RETAIL_CONSUMER,2026-07-03,54.9,,53.13-53.39,weak,,57.74-58.01,strong,61.18-61.45,MFI_CMF + VWAP_VWMA + ROC_MOMENTUM + MA_EMA_WMA + PVI_NVI,ET,80.0,58.34,GIỮ TRÊN HỖ TRỢ,trên S1 khoảng 2.99%,0,4,1,0.0,80.0,GIỮ GIÁ NHƯNG CORE12 YẾU
VOS,OTHER,ALL,2026-06-30,12.25,12.17-12.27,11.80-11.90,weak,,13.08-13.17,strong,14.13-14.22,MFI_CMF + ROC_MOMENTUM + PVI_NVI + ADX_DMI + RSI,RF,70.45,12.16,GIỮ VÙNG HIỆN TẠI,close nằm trong/gần current zone,3,1,1,60.0,20.0,GIỮ HỖ TRỢ / CORE12 ỦNG HỘ
VPB,BANK,BANK,2026-07-03,27.8,27.70-27.88,26.73-26.91,strong,24.97-25.15,28.89-29.07,weak,30.81-30.99,ROC_MOMENTUM + MFI_CMF + TRIX + ICHIMOKU + SR_CLUSTER,LOG,24.27,91.11,GIỮ VÙNG HIỆN TẠI,close nằm trong/gần current zone,4,0,1,80.0,0.0,GIỮ HỖ TRỢ / CORE12 ỦNG HỘ
VRE,BDS,BDS,2026-07-03,28.15,28.26-28.48,26.43-26.66,strong,23.55-23.77,30.22-30.45,strong,31.85-32.08,SUPERTREND + MA_EMA_WMA + TRIX + VWAP_VWMA + PVI_NVI,ET,100.0,20.84,GIỮ VÙNG HIỆN TẠI,close nằm trong/gần current zone,1,2,2,20.0,40.0,GIỮ VÙNG HIỆN TẠI
VSC,INDUSTRIAL_LOGISTICS,ALL,2026-06-30,19.0,18.97-19.12,18.27-18.43,strong,,19.90-20.05,strong,21.42-21.57,MFI_CMF + ROC_MOMENTUM + PVI_NVI + ADX_DMI + RSI,RF,70.45,12.16,GIỮ VÙNG HIỆN TẠI,close nằm trong/gần current zone,2,3,0,40.0,60.0,GIỮ VÙNG HIỆN TẠI
VTP,OTHER,ALL,2026-07-03,63.9,63.98-64.40,62.19-62.61,weak,,66.07-66.49,strong,69.89-70.31,MFI_CMF + ROC_MOMENTUM + PVI_NVI + ADX_DMI + RSI,RF,70.45,12.16,GIỮ VÙNG HIỆN TẠI,close nằm trong/gần current zone,1,4,0,20.0,80.0,GIỮ GIÁ NHƯNG CORE12 YẾU
